package,status,declaration_version,runtime_package,export_signature_pairs,unique_declarations,distinct_exports,generic_declarations,own_generic_declarations,both_polarities_declarations,first_order_potential_declarations,entry_diagnostic_count,retained_diagnostic_count,exclusion_count,identity,container-element,value-to-container,multiple-arguments,constrained-generic,higher-order,overload-or-discriminated,unsupported
"ftp","extracted-with-diagnostics","0.3.9999","ftp","112","56","80","14","11","0","0","5","5","0","0","0","0","0","0","0","24","38"
"ftpd","extracted-with-diagnostics","0.2.9999","ftpd","423","159","305","56","40","2","0","5","5","0","1","0","0","1","1","1","81","145"
"ftps","extracted","1.2.9999","ftps","37","19","37","0","0","0","0","0","0","0","0","0","0","0","0","0","1","18"
"fullpage.js","extracted","2.9.9999","fullpage.js","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"function-bind","extracted","1.1.9999","function-bind","12","12","3","12","12","11","0","0","0","0","0","0","0","0","5","11","12","12"
"function.prototype.name","extracted","1.1.9999","function.prototype.name","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"functional-red-black-tree","extracted","1.0.9999","functional-red-black-tree","134","17","126","17","3","2","0","0","0","0","0","0","0","1","0","2","2","15"
"functions-have-names","extracted","1.2.9999","functions-have-names","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"fundamental-react","extracted-with-diagnostics","0.14.9999","fundamental-react","146","9","129","8","2","0","0","1","1","0","0","0","0","0","0","0","2","9"
"furigana-markdown-it","extracted","1.0.9999","furigana-markdown-it","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"fusebit__add-on-sdk","extracted","3.1.9999","@fusebit/add-on-sdk","11","7","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"fusebit__oauth-connector","extracted-with-diagnostics","1.3.9999","@fusebit/oauth-connector","10","10","10","0","0","0","0","5","5","0","0","0","0","0","0","0","0","10"
"fuzzaldrin","extracted","2.1.9999","fuzzaldrin","4","4","3","1","1","1","0","0","0","0","0","0","0","0","0","0","2","4"
"fuzzaldrin-plus","extracted","0.6.9999","fuzzaldrin-plus","5","5","5","1","1","1","0","0","0","0","0","0","0","0","0","0","0","5"
"fuzzy-finder","extracted","1.0.9999","fuzzy-finder","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"fuzzy-search","extracted","2.1.9999","fuzzy-search","3","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"fuzzysearch","extracted","1.0.9999","fuzzysearch","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"fuzzysearch-highlight","extracted","1.0.9999","fuzzysearch-highlight","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"fuzzyset","extracted","1.0.9999","fuzzyset","12","6","10","1","1","1","0","0","0","0","1","0","0","0","0","0","2","6"
"fuzzyset.js","extracted","0.0.9999","fuzzyset.js","10","5","10","1","1","1","0","0","0","0","1","0","0","0","0","0","0","5"
"fxjs","extracted","0.15.9999","fxjs","12","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"fxn","extracted-with-diagnostics","0.0.9999","fxn","29","29","29","0","0","0","0","5","5","0","0","0","0","0","0","0","0","29"
"ga-gtag","extracted","1.2.9999","ga-gtag","3","3","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3"
"gae.channel.api","extracted","0.0.9999","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"gamedig","extracted","5.0.9999","gamedig","6","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4"
"gamepad","extracted","1.5.9999","gamepad","24","24","21","0","0","0","0","0","0","0","0","0","0","0","0","0","4","24"
"gamequery","extracted","0.7.9999","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"gandi-livedns","extracted","0.0.9999","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"gapi","extracted","0.0.9999","gapi","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"gapi.analytics","extracted","0.0.9999","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"gapi.auth2","extracted","0.0.9999","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"gapi.calendar","extracted","3.0.9999","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"gapi.client","extracted","1.0.9999","","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"gapi.client.abusiveexperiencereport-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.acceleratedmobilepageurl-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.accessapproval-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.accesscontextmanager-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.acmedns-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.addressvalidation-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.adexchangebuyer2-v2beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.adexperiencereport-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.admin-datatransfer_v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.admin-directory_v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.admin-reports_v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.admob-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.admob-v1beta","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.adsense-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.adsensehost-v4.1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.advisorynotifications-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.aiplatform-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.aiplatform-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.airquality-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.alertcenter-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.alloydb-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.alloydb-v1alpha","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.alloydb-v1beta","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.analytics-v3","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.analyticsadmin-v1alpha","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.analyticsadmin-v1beta","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.analyticsdata-v1beta","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.analyticshub-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.analyticshub-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.analyticsreporting-v4","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.androiddeviceprovisioning-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.androidenterprise-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.androidmanagement-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.androidpublisher-v3","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.apigateway-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.apigateway-v1beta","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.apigeeregistry-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.apikeys-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.apim-v1alpha","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.appengine-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.appengine-v1alpha","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.appengine-v1beta","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.apphub-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.apphub-v1alpha","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.area120tables-v1alpha1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.artifactregistry-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.artifactregistry-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.artifactregistry-v1beta2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.assuredworkloads-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.assuredworkloads-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.authorizedbuyersmarketplace-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.backupdr-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.baremetalsolution-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.batch-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.beyondcorp-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.beyondcorp-v1alpha","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.biglake-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.bigquery-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.bigqueryconnection-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.bigqueryconnection-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.bigquerydatapolicy-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.bigquerydatatransfer-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.bigqueryreservation-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.bigtableadmin-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.billingbudgets-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.billingbudgets-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.binaryauthorization-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.binaryauthorization-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.blockchainnodeengine-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.blogger-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.blogger-v3","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.books-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.businessprofileperformance-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.calendar-v3","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.certificatemanager-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.chat-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.checks-v1alpha","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.chromemanagement-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.chromepolicy-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.chromeuxreport-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.civicinfo-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.classroom-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudasset-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudasset-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudasset-v1p1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudasset-v1p5beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudasset-v1p7beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudbilling-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudbilling-v1beta","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudbuild-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudbuild-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudchannel-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudcontrolspartner-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudcontrolspartner-v1beta","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.clouddeploy-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.clouderrorreporting-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudfunctions-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudfunctions-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudfunctions-v2alpha","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudfunctions-v2beta","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudidentity-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudidentity-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudkms-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudprofiler-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudresourcemanager-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudresourcemanager-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudresourcemanager-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudresourcemanager-v2beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudresourcemanager-v3","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudscheduler-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudscheduler-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudsearch-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudshell-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudsupport-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudsupport-v2beta","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudtasks-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudtasks-v2beta2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudtasks-v2beta3","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudtrace-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudtrace-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.cloudtrace-v2beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.composer-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.composer-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.compute-alpha","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.compute-beta","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.compute-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.config-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.connectors-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.connectors-v2","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.contactcenteraiplatform-v1alpha1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.contactcenterinsights-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.container-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.container-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.containeranalysis-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.containeranalysis-v1alpha1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.containeranalysis-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.content-v2.1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.contentwarehouse-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.customsearch-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.datacatalog-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.datacatalog-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.dataflow-v1b3","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.dataform-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.datafusion-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.datafusion-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.datalabeling-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.datalineage-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.datamigration-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.datamigration-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.datapipelines-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.dataplex-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.dataportability-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.dataportability-v1beta","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.dataproc-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.datastore-v1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.datastore-v1beta1","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"gapi.client.datastore-v1beta3","extracted-with-diagnostics","0.0.9999","","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
