package,status,export_signature_pairs,selected_entries,extracted_entries,missing_entries,diagnostics
alt,extracted-with-diagnostics,0,1,1,0,1
amap-js-api,extracted,0,1,1,0,0
amap-js-api-arrival-range,extracted,0,1,1,0,0
amap-js-api-autocomplete,extracted,0,1,1,0,0
amap-js-api-city-search,extracted,0,1,1,0,0
amap-js-api-control-bar,extracted,0,1,1,0,0
amap-js-api-district-search,extracted,0,1,1,0,0
amap-js-api-driving,extracted,0,1,1,0,0
amap-js-api-geocoder,extracted,0,1,1,0,0
amap-js-api-geolocation,extracted,0,1,1,0,0
amap-js-api-heatmap,extracted,0,1,1,0,0
amap-js-api-indoor-map,extracted,0,1,1,0,0
amap-js-api-line-search,extracted,0,1,1,0,0
amap-js-api-map-type,extracted,0,1,1,0,0
amap-js-api-map3d,extracted,0,1,1,0,0
amap-js-api-overview,extracted,0,1,1,0,0
amap-js-api-place-search,extracted,0,1,1,0,0
amap-js-api-riding,extracted,0,1,1,0,0
amap-js-api-scale,extracted,0,1,1,0,0
amap-js-api-station-search,extracted,0,1,1,0,0
amap-js-api-tool-bar,extracted,0,1,1,0,0
amap-js-api-transfer,extracted,0,1,1,0,0
amap-js-sdk,extracted,0,1,1,0,0
amazon-cognito-auth-js,extracted,89,1,1,0,0
amazon-dax-client,extracted-with-diagnostics,2,1,1,0,5
amazon-product-api,extracted,6,1,1,0,0
ambient-weather-api,extracted,18,1,1,0,0
amcharts,extracted,720,1,1,0,0
amdefine,extracted-with-diagnostics,1,1,1,0,5
americanexpress__react-seo,extracted-with-diagnostics,1,1,1,0,1
amp,extracted-with-diagnostics,1874,1,1,0,5
amp-message,extracted-with-diagnostics,12,1,1,0,5
amphtml-validator,extracted-with-diagnostics,8,1,1,0,5
amplifier,extracted,39,1,1,0,0
amplify,extracted,48,1,1,0,0
amplify-deferred,extracted,0,1,1,0,0
amplitude-js,extracted,81,1,1,0,0
amqp,extracted-with-diagnostics,145,1,1,0,5
amqp-rpc,extracted-with-diagnostics,12,1,1,0,5
amqplib,extracted-with-diagnostics,430,1,1,0,5
amzn__synthetics-playwright,extracted-with-diagnostics,10,1,1,0,1
analog-clock,extracted,10,1,1,0,0
analytics-node,extracted,8,1,1,0,0
anchor-js,extracted,4,1,1,0,0
android-device-list,extracted,6,1,1,0,0
android-emulator-webrtc,extracted,0,1,1,0,0
android-versions,extracted,2,1,1,0,0
angular,extracted,1624,1,1,0,0
angular-agility,extracted,0,1,1,0,0
angular-animate,extracted,0,1,1,0,0
angular-aria,extracted,0,1,1,0,0
angular-block-ui,extracted,0,1,1,0,0
